Iterations,Seconds,Score
5020000,1711155371,65,420985
5030000,1711155371,65,090103
5040000,1711155372,64,490450
5050000,1711155372,65,592640
5060000,1711155373,65,413603
5070000,1711155373,65,666012
5080000,1711155374,65,441212
5090000,1711155375,65,824349
5100000,1711155375,65,778325
5110000,1711155376,64,996013
5120000,1711155376,65,166874
5130000,1711155377,65,626175
5140000,1711155377,65,073725
5150000,1711155378,64,909106
5160000,1711155379,65,634433
5170000,1711155379,65,412231
5180000,1711155380,64,396964
5190000,1711155380,65,304638
5200000,1711155381,65,815426
5210000,1711155382,64,823439
5220000,1711155382,64,470548
5230000,1711155383,64,043543
5240000,1711155383,64,589135
5250000,1711155384,65,390692
5260000,1711155384,64,591409
5270000,1711155385,64,417064
5280000,1711155386,65,093135
5290000,1711155386,63,718073
5300000,1711155387,64,893780
5310000,1711155387,65,249855
5320000,1711155388,63,951010
5330000,1711155388,64,004746
5340000,1711155389,64,380369
5350000,1711155389,65,197945
5360000,1711155390,65,132899
5370000,1711155391,65,254346
5380000,1711155391,64,563438
5390000,1711155392,64,844460
5400000,1711155392,64,747029
5410000,1711155393,65,793465
5420000,1711155393,65,143413
5430000,1711155394,63,896249
5440000,1711155394,64,360445
5450000,1711155395,63,961138
5460000,1711155396,65,071804
5470000,1711155396,64,649254
5480000,1711155397,64,983888
5490000,1711155397,64,862223
5500000,1711155398,64,261867
5510000,1711155398,64,383871
5520000,1711155399,64,693080
5530000,1711155399,64,623975
5540000,1711155400,64,396987
5550000,1711155401,64,311949
5560000,1711155401,64,524200
5570000,1711155402,64,672850
5580000,1711155402,64,364039
5590000,1711155403,64,602767
5600000,1711155404,64,476894
5610000,1711155404,63,927871
5620000,1711155405,64,271797
5630000,1711155405,63,736717
5640000,1711155406,63,840774
5650000,1711155406,63,980288
5660000,1711155407,63,464967
5670000,1711155408,64,285422
5680000,1711155408,63,848677
5690000,1711155409,63,791571
5700000,1711155409,62,610434
5710000,1711155410,63,898502
5720000,1711155410,64,651582
5730000,1711155411,63,866605
5740000,1711155412,63,285598
5750000,1711155412,63,792980
5760000,1711155413,63,753206
5770000,1711155413,64,326742
5780000,1711155414,64,565983
5790000,1711155414,63,929035
5800000,1711155415,63,591321
5810000,1711155416,63,538524
5820000,1711155416,64,143400
5830000,1711155417,63,454870
5840000,1711155417,63,949361
5850000,1711155418,63,260288
5860000,1711155418,63,942723
5870000,1711155419,64,131624
5880000,1711155420,64,176820
5890000,1711155420,63,258522
5900000,1711155421,63,703549
5910000,1711155421,63,604768
5920000,1711155422,63,593872
5930000,1711155422,63,283226
5940000,1711155423,64,154807
5950000,1711155423,63,393791
5960000,1711155424,63,882644
5970000,1711155425,63,429057
5980000,1711155425,63,672802
5990000,1711155426,63,722644
6000000,1711155426,63,200437
6010000,1711155427,63,421223
6020000,1711155427,63,374182
6030000,1711155428,62,523522
6040000,1711155428,63,118717
6050000,1711155429,63,007918
6060000,1711155430,62,467142
6070000,1711155430,63,286149
6080000,1711155431,63,169652
6090000,1711155431,63,019474
6100000,1711155432,62,486731
6110000,1711155432,63,437337
6120000,1711155433,63,453400
6130000,1711155433,62,892619
6140000,1711155434,63,501177
6150000,1711155434,63,404678
6160000,1711155435,63,562971
6170000,1711155435,63,651201
6180000,1711155436,63,824306
6190000,1711155436,62,597240
6200000,1711155437,63,558691
6210000,1711155438,63,188490
6220000,1711155438,62,483746
6230000,1711155439,63,408074
6240000,1711155439,63,766517
6250000,1711155440,63,361329
6260000,1711155440,62,721885
6270000,1711155441,62,547654
6280000,1711155441,62,995543
6290000,1711155442,63,484498
6300000,1711155443,62,714535
6310000,1711155443,63,177189
6320000,1711155444,62,991096
6330000,1711155444,63,320899
6340000,1711155445,63,152175
6350000,1711155445,63,030659
6360000,1711155446,63,602477
6370000,1711155446,63,056484
6380000,1711155447,62,759940
6390000,1711155448,61,968754
6400000,1711155448,62,806054
6410000,1711155449,62,740899
6420000,1711155449,62,915417
6430000,1711155450,63,052856
6440000,1711155450,62,593066
6450000,1711155451,62,704412
6460000,1711155451,62,458794
6470000,1711155452,63,077262
6480000,1711155453,63,168587
6490000,1711155453,62,393235
6500000,1711155454,62,609703
6510000,1711155454,62,545360
6520000,1711155455,62,464715
6530000,1711155455,62,429757
6540000,1711155456,62,240155
6550000,1711155457,62,699139
6560000,1711155457,62,448706
6570000,1711155458,62,185047
6580000,1711155458,62,735218
6590000,1711155459,62,155237
6600000,1711155459,63,131388
6610000,1711155460,62,817973
6620000,1711155461,62,589337
6630000,1711155461,62,346972
6640000,1711155462,62,968893
6650000,1711155462,62,366232
6660000,1711155463,62,288351
6670000,1711155463,61,113170
6680000,1711155464,62,077466
6690000,1711155464,62,674180
6700000,1711155465,62,485729
6710000,1711155465,62,394315
6720000,1711155466,62,044694
6730000,1711155466,62,740676
6740000,1711155467,62,397736
6750000,1711155467,62,430070
6760000,1711155468,62,464498
6770000,1711155468,62,547566
6780000,1711155469,62,622877
6790000,1711155469,61,730048
6800000,1711155470,62,360182
6810000,1711155470,62,363203
6820000,1711155471,62,531402
6830000,1711155472,62,408114
6840000,1711155472,62,085528
6850000,1711155473,62,543380
6860000,1711155473,61,472940
6870000,1711155474,62,330713
6880000,1711155474,61,990288
6890000,1711155475,61,589555
6900000,1711155475,62,259428
6910000,1711155476,62,213143
6920000,1711155477,62,125488
6930000,1711155477,62,296827
6940000,1711155478,62,020182
6950000,1711155478,61,931731
6960000,1711155479,62,518506
6970000,1711155479,61,690599
6980000,1711155480,61,987421
6990000,1711155481,61,887810
7000000,1711155481,61,946046
7010000,1711155482,62,588037
7020000,1711155482,62,155711
7030000,1711155483,62,205687
7040000,1711155484,62,433329
7050000,1711155484,62,690547
7060000,1711155485,61,830663
7070000,1711155485,60,840200
7080000,1711155486,62,037590
7090000,1711155486,61,917855
7100000,1711155487,61,539464
7110000,1711155488,61,508269
7120000,1711155488,62,135954
7130000,1711155489,61,353934
7140000,1711155489,61,693189
7150000,1711155490,61,412082
7160000,1711155491,61,383178
7170000,1711155491,60,744574
7180000,1711155492,61,368764
7190000,1711155492,62,005255
7200000,1711155493,61,275356
7210000,1711155493,60,283524
7220000,1711155494,61,776826
7230000,1711155495,61,060174
7240000,1711155495,61,430965
7250000,1711155496,61,630432
7260000,1711155496,60,612037
7270000,1711155497,61,283150
7280000,1711155497,61,656989
7290000,1711155498,61,560794
7300000,1711155498,61,538306
7310000,1711155499,60,640118
7320000,1711155500,61,156805
7330000,1711155500,61,618320
7340000,1711155501,62,112856
7350000,1711155501,60,937260
7360000,1711155502,60,169163
7370000,1711155502,60,302985
7380000,1711155503,61,339450
7390000,1711155503,61,407131
7400000,1711155504,61,699746
7410000,1711155504,61,431283
7420000,1711155505,61,333215
7430000,1711155505,61,133980
7440000,1711155506,61,046139
7450000,1711155507,60,334138
7460000,1711155507,61,662696
7470000,1711155508,61,547024
7480000,1711155508,60,743420
7490000,1711155509,60,930281
7500000,1711155509,61,119494
7510000,1711155510,61,307448
7520000,1711155510,61,187268
7530000,1711155511,61,520754
7540000,1711155511,60,806704
7550000,1711155512,61,227951
7560000,1711155512,60,875521
7570000,1711155513,61,229703
7580000,1711155513,61,072238
7590000,1711155514,61,274339
7600000,1711155514,61,363376
7610000,1711155515,60,919964
7620000,1711155516,61,151368
7630000,1711155516,60,888771
7640000,1711155517,60,455047
7650000,1711155517,60,572279
7660000,1711155518,60,413194
7670000,1711155518,61,025558
7680000,1711155519,61,013653
7690000,1711155520,61,342130
7700000,1711155520,60,830839
7710000,1711155521,61,617501
7720000,1711155521,60,648265
7730000,1711155522,61,115269
7740000,1711155522,61,158773
7750000,1711155523,60,994087
7760000,1711155523,60,596845
7770000,1711155524,60,898196
7780000,1711155524,61,050536
7790000,1711155525,60,633927
7800000,1711155526,60,587309
7810000,1711155526,60,981602
7820000,1711155527,60,958155
7830000,1711155527,60,663339
7840000,1711155528,60,807197
7850000,1711155528,60,594840
7860000,1711155529,60,912984
7870000,1711155530,60,811816
7880000,1711155530,60,461340
7890000,1711155531,60,130699
7900000,1711155531,60,596786
7910000,1711155532,60,244942
7920000,1711155533,61,006576
7930000,1711155533,60,774873
7940000,1711155534,60,281458
7950000,1711155534,60,714829
7960000,1711155535,60,978775
7970000,1711155535,60,608958
7980000,1711155536,60,646730
7990000,1711155536,60,521505
8000000,1711155537,60,933496
8010000,1711155537,60,262499
8020000,1711155538,60,412263
8030000,1711155539,60,547851
8040000,1711155539,60,157564
8050000,1711155540,60,462819
8060000,1711155540,60,584387
8070000,1711155541,60,656181
8080000,1711155541,60,442974
8090000,1711155542,60,412889
8100000,1711155543,60,524057
8110000,1711155543,60,301897
8120000,1711155543,60,041524
8130000,1711155543,60,360413
8140000,1711155544,60,176249
8150000,1711155544,60,699087
8160000,1711155545,59,995496
8170000,1711155546,60,604711
8180000,1711155546,60,162544
8190000,1711155547,59,932255
8200000,1711155547,59,944751
8210000,1711155548,60,620339
8220000,1711155548,60,068539
8230000,1711155549,60,455422
8240000,1711155550,60,069282
8250000,1711155550,59,926898
8260000,1711155551,60,157067
8270000,1711155551,60,255603
8280000,1711155552,60,737034
8290000,1711155552,59,886073
8300000,1711155553,59,918333
8310000,1711155554,60,113924
8320000,1711155554,60,027996
8330000,1711155555,59,920291
8340000,1711155555,60,213919
8350000,1711155556,59,814804
8360000,1711155556,59,953070
8370000,1711155557,60,242767
8380000,1711155557,59,427818
8390000,1711155558,60,187584
8400000,1711155559,59,469242
8410000,1711155559,59,902991
8420000,1711155560,60,340633
8430000,1711155560,59,890482
8440000,1711155561,59,911809
8450000,1711155561,59,719479
8460000,1711155562,59,873771
8470000,1711155562,59,888657
8480000,1711155563,59,539128
8490000,1711155564,59,819279
8500000,1711155564,60,097366
8510000,1711155565,59,987161
8520000,1711155565,59,562138
8530000,1711155566,59,480315
8540000,1711155566,59,774481
8550000,1711155567,59,626202
8560000,1711155568,60,173136
8570000,1711155568,59,744729
8580000,1711155569,60,019515
8590000,1711155569,59,997933
8600000,1711155570,60,189020
8610000,1711155570,59,457140
8620000,1711155571,59,954874
8630000,1711155571,59,756129
8640000,1711155572,60,160430
8650000,1711155573,59,729227
8660000,1711155573,59,876203
8670000,1711155573,59,866065
8680000,1711155574,59,316902
8690000,1711155575,59,411328
8700000,1711155575,60,139137
8710000,1711155576,59,558672
8720000,1711155576,59,644720
8730000,1711155577,59,324057
8740000,1711155577,60,036815
8750000,1711155578,59,574553
8760000,1711155578,59,469897
8770000,1711155579,59,385684
8780000,1711155579,59,450175
8790000,1711155580,59,334870
8800000,1711155580,59,655090
8810000,1711155581,59,483081
8820000,1711155582,59,210228
8830000,1711155582,59,333650
8840000,1711155583,59,304439
8850000,1711155583,58,656560
8860000,1711155584,59,684711
8870000,1711155584,59,463411
8880000,1711155585,58,640611
8890000,1711155585,59,473300
8900000,1711155586,59,461401
8910000,1711155586,59,162233
8920000,1711155587,59,528002
8930000,1711155587,59,567603
8940000,1711155588,59,487493
8950000,1711155589,59,167722
8960000,1711155589,59,309908
8970000,1711155590,59,524568
8980000,1711155590,59,065913
8990000,1711155591,59,126726
9000000,1711155591,58,799978
9010000,1711155592,59,439496
9020000,1711155593,59,601772
9030000,1711155593,59,257429
9040000,1711155594,59,240049
9050000,1711155594,59,013858
9060000,1711155595,59,324450
9070000,1711155596,59,199715
9080000,1711155596,59,199161
9090000,1711155597,58,659365
9100000,1711155597,59,220008
9110000,1711155598,59,455521
9120000,1711155599,59,560583
9130000,1711155599,59,197663
9140000,1711155600,59,358598
