Iterations,Seconds,Score
7180000,255,16.524661
7190000,255,16.523247
7200000,255,16.509885
7210000,256,16.504048
7220000,256,16.511567
7230000,256,16.495238
7240000,257,16.512252
7250000,257,16.490714
7260000,257,16.499916
7270000,258,16.503234
7280000,258,16.491071
7290000,259,16.494423
7300000,259,16.484449
7310000,259,16.493181
7320000,260,16.472747
7330000,260,16.464714
7340000,260,16.487043
7350000,261,16.451151
7360000,261,16.448691
7370000,261,16.431627
7380000,262,16.465174
7390000,262,16.447418
7400000,263,16.457390
7410000,263,16.448485
7420000,263,16.428048
7430000,264,16.436229
7440000,264,16.420410
7450000,264,16.419242
7460000,265,16.421387
7470000,265,16.414748
7480000,266,16.417561
7490000,266,16.404426
7500000,266,16.412859
7510000,267,16.405535
7520000,267,16.398709
7530000,267,16.381449
7540000,268,16.396005
7550000,268,16.391293
7560000,268,16.399696
7570000,269,16.390007
7580000,269,16.397192
7590000,270,16.384199
7600000,270,16.371508
7610000,270,16.375275
7620000,271,16.391541
7630000,271,16.374954
7640000,271,16.374643
7650000,272,16.384959
7660000,272,16.350306
7670000,273,16.361510
7680000,273,16.371691
7690000,273,16.363306
7700000,274,16.355531
7710000,274,16.355610
7720000,274,16.353689
7730000,275,16.355485
7740000,275,16.339304
7750000,276,16.341957
7760000,276,16.346153
7770000,276,16.332326
7780000,277,16.322308
7790000,277,16.333526
7800000,277,16.325434
7810000,278,16.308957
7820000,278,16.309633
7830000,279,16.314253
7840000,279,16.309023
7850000,279,16.306141
7860000,280,16.298541
7870000,280,16.300123
7880000,281,16.293954
7890000,281,16.281357
7900000,281,16.283957
7910000,282,16.294140
7920000,282,16.269919
7930000,282,16.279352
7940000,283,16.286076
7950000,283,16.283176
7960000,283,16.272337
7970000,284,16.268885
7980000,284,16.242512
7990000,285,16.268502
8000000,285,16.264725
8010000,285,16.262587
8020000,286,16.262192
8030000,286,16.252327
8040000,286,16.247183
8050000,287,16.246403
8060000,287,16.261789
8070000,288,16.253293
8080000,288,16.251770
8090000,288,16.237018
8100000,289,16.238495
8110000,289,16.225581
8120000,289,16.236906
8130000,290,16.229456
8140000,290,16.220049
8150000,291,16.214750
8160000,291,16.219490
8170000,291,16.225023
8180000,292,16.215910
8190000,292,16.212587
8200000,292,16.205268
8210000,293,16.201995
8220000,293,16.182554
8230000,293,16.192268
8240000,294,16.185620
8250000,294,16.178322
8260000,295,16.195048
8270000,295,16.174845
8280000,295,16.186395
8290000,296,16.160515
8300000,296,16.162355
8310000,296,16.173434
8320000,297,16.177961
8330000,297,16.170605
8340000,297,16.159188
8350000,298,16.141416
8360000,298,16.150707
8370000,299,16.130125
8380000,299,16.125423
8390000,299,16.109025
8400000,300,16.133535
8410000,300,16.125766
8420000,300,16.121804
8430000,301,16.094743
8440000,301,16.097475
8450000,302,16.107898
8460000,302,16.109462
8470000,302,16.087607
8480000,303,16.100707
8490000,303,16.109742
8500000,303,16.095896
8510000,304,16.089089
8520000,304,16.093345
8530000,304,16.035752
8540000,305,16.085146
8550000,305,16.080273
8560000,305,16.057836
8570000,306,16.043630
8580000,306,16.066584
8590000,307,16.062564
8600000,307,16.065299
8610000,307,16.045127
8620000,308,16.052516
8630000,308,16.033980
8640000,308,16.051071
8650000,309,16.032005
8660000,309,16.040268
8670000,309,16.027041
8680000,310,16.031059
8690000,310,16.027480
8700000,310,16.032546
8710000,311,16.028015
8720000,311,16.020630
8730000,312,16.025066
8740000,312,16.015796
8750000,312,16.029755
8760000,313,16.007118
8770000,313,16.011406
8780000,313,16.011299
8790000,314,16.002919
8800000,314,15.991817
8810000,314,15.990985
8820000,315,15.991919
8830000,315,15.990308
8840000,315,15.993569
8850000,316,15.984610
8860000,316,15.978044
8870000,317,15.970562
8880000,317,15.991558
8890000,317,15.962806
8900000,318,15.982046
8910000,318,15.981500
8920000,318,15.971163
8930000,319,15.974707
8940000,319,15.971160
8950000,320,15.964334
8960000,320,15.949546
8970000,320,15.898457
8980000,321,15.953354
8990000,321,15.958595
9000000,321,15.957113
9010000,322,15.940043
9020000,322,15.948464
9030000,322,15.952076
9040000,323,15.941709
9050000,323,15.940334
9060000,324,15.935097
9070000,324,15.924947
9080000,324,15.930947
9090000,325,15.926929
9100000,325,15.917433
9110000,325,15.919587
9120000,326,15.922572
9130000,326,15.931812
9140000,327,15.914046
9150000,327,15.913836
9160000,327,15.910459
9170000,328,15.909778
9180000,328,15.902337
9190000,328,15.897701
9200000,329,15.897438
9210000,329,15.902942
9220000,329,15.903028
9230000,330,15.887155
9240000,330,15.874622
9250000,330,15.871801
9260000,331,15.888556
9270000,331,15.870903
9280000,332,15.886480
9290000,332,15.877189
9300000,332,15.875230
9310000,333,15.873539
9320000,333,15.866133
9330000,333,15.854699
9340000,334,15.866252
9350000,334,15.859421
9360000,334,15.857033
9370000,335,15.864444
9380000,335,15.850799
9390000,335,15.838030
9400000,336,15.844845
9410000,336,15.835324
9420000,336,15.852316
9430000,337,15.825985
9440000,337,15.841831
9450000,338,15.829778
9460000,338,15.823350
9470000,338,15.828803
9480000,339,15.831255
9490000,339,15.831997
9500000,339,15.811520
9510000,340,15.828262
9520000,340,15.825265
9530000,340,15.810049
9540000,341,15.816367
9550000,341,15.794827
9560000,341,15.817265
9570000,342,15.811885
9580000,342,15.810424
9590000,343,15.801831
9600000,343,15.808396
9610000,343,15.807438
9620000,344,15.782373
9630000,344,15.786094
9640000,344,15.780717
9650000,345,15.777482
9660000,345,15.786780
9670000,345,15.782385
9680000,346,15.784635
9690000,346,15.786079
9700000,346,15.779094
9710000,347,15.778132
9720000,347,15.773507
9730000,348,15.744289
9740000,348,15.763860
9750000,348,15.764110
9760000,349,15.761095
9770000,349,15.750260
9780000,349,15.747998
9790000,350,15.762770
9800000,350,15.736431
9810000,350,15.758146
9820000,351,15.743488
9830000,351,15.748419
9840000,352,15.737016
9850000,352,15.741066
9860000,352,15.730615
9870000,353,15.729811
9880000,353,15.731444
9890000,353,15.717584
9900000,354,15.731539
9910000,354,15.728729
9920000,354,15.718444
9930000,355,15.727041
9940000,355,15.721270
9950000,356,15.713551
9960000,356,15.700663
9970000,356,15.713987
9980000,357,15.696416
9990000,357,15.722533
10000000,357,15.693788
10010000,358,15.694461
10020000,358,15.702990
10030000,359,15.714860
10040000,359,15.687413
10050000,359,15.676995
10060000,360,15.672329
10070000,360,15.684094
10080000,360,15.686482
10090000,361,15.678727
10100000,361,15.680563
10110000,362,15.661901
10120000,362,15.663329
10130000,362,15.659273
10140000,363,15.677558
10150000,363,15.664785
10160000,363,15.662819
10170000,364,15.666030
10180000,364,15.672062
10190000,364,15.661467
10200000,365,15.657385
10210000,365,15.665543
10220000,365,15.673298
10230000,366,15.649870
10240000,366,15.656067
10250000,367,15.650679
10260000,367,15.641342
10270000,367,15.637160
10280000,368,15.662390
10290000,368,15.641811
10300000,368,15.640780
10310000,369,15.642952
10320000,369,15.639526
10330000,369,15.636896
10340000,370,15.632798
10350000,370,15.633602
10360000,371,15.648566
10370000,371,15.633564
10380000,371,15.631276
10390000,372,15.634952
