Iterations,Seconds,Score
4050000,1711227984,39,755207
4060000,1711227985,40,136201
4070000,1711227985,39,852652
4080000,1711227986,40,877664
4090000,1711227986,39,684682
4100000,1711227987,39,864280
4110000,1711227988,40,081114
4120000,1711227988,40,240185
4130000,1711227989,40,256475
4140000,1711227989,40,332427
4150000,1711227990,40,151872
4160000,1711227990,39,995244
4170000,1711227991,39,991388
4180000,1711227991,39,844062
4190000,1711227992,40,065847
4200000,1711227992,40,171691
4210000,1711227993,39,644718
4220000,1711227993,40,163207
4230000,1711227994,39,380071
4240000,1711227994,39,747818
4250000,1711227995,40,014875
4260000,1711227995,40,613587
4270000,1711227996,38,942133
4280000,1711227996,40,101915
4290000,1711227997,39,969083
4300000,1711227997,39,291179
4310000,1711227998,39,718623
4320000,1711227999,39,599594
4330000,1711227999,39,670114
4340000,1711228000,40,130473
4350000,1711228000,39,183180
4360000,1711228001,39,894139
4370000,1711228001,40,006146
4380000,1711228002,39,891764
4390000,1711228002,39,685177
4400000,1711228003,39,932922
4410000,1711228003,39,043003
4420000,1711228004,39,789142
4430000,1711228005,40,160388
4440000,1711228005,39,493677
4450000,1711228006,39,559744
4460000,1711228006,39,616277
4470000,1711228007,39,577559
4480000,1711228007,39,675688
4490000,1711228008,39,421631
4500000,1711228009,39,073623
4510000,1711228009,39,917512
4520000,1711228010,39,189635
4530000,1711228010,39,586598
4540000,1711228011,39,167297
4550000,1711228011,39,195059
4560000,1711228012,39,116118
4570000,1711228012,39,918427
4580000,1711228013,39,481583
4590000,1711228014,39,540058
4600000,1711228014,39,351886
4610000,1711228015,38,505214
4620000,1711228015,39,304967
4630000,1711228016,39,616075
4640000,1711228016,39,250805
4650000,1711228017,39,475418
4660000,1711228017,39,183570
4670000,1711228018,39,771227
4680000,1711228018,39,140164
4690000,1711228019,39,118787
4700000,1711228019,39,438451
4710000,1711228020,39,348564
4720000,1711228020,39,390879
4730000,1711228021,38,719250
4740000,1711228021,38,930032
4750000,1711228022,39,427592
4760000,1711228022,38,649156
4770000,1711228023,38,932856
4780000,1711228024,39,242691
4790000,1711228024,38,766087
4800000,1711228024,38,230715
4810000,1711228024,38,948509
4820000,1711228025,39,535663
4830000,1711228025,39,375141
4840000,1711228026,39,210099
4850000,1711228026,39,495144
4860000,1711228027,39,120273
4870000,1711228028,39,300865
4880000,1711228028,39,103836
4890000,1711228029,38,782647
4900000,1711228029,39,157869
4910000,1711228030,37,744357
4920000,1711228031,39,053854
4930000,1711228031,39,348819
4940000,1711228032,38,885477
4950000,1711228032,38,634446
4960000,1711228033,38,657462
4970000,1711228033,38,883839
4980000,1711228034,39,118728
4990000,1711228034,39,004352
5000000,1711228035,38,807763
5010000,1711228036,38,772951
5020000,1711228036,39,128968
5030000,1711228037,38,839922
5040000,1711228037,38,967223
5050000,1711228038,38,338165
5060000,1711228039,38,774209
5070000,1711228039,38,293043
5080000,1711228040,39,088450
5090000,1711228040,38,931654
5100000,1711228041,38,637877
5110000,1711228042,38,698283
5120000,1711228042,38,710536
5130000,1711228043,38,694837
5140000,1711228043,38,672536
5150000,1711228044,38,235896
5160000,1711228045,38,737866
5170000,1711228045,38,520143
5180000,1711228046,37,988433
5190000,1711228046,38,655561
5200000,1711228046,38,647327
5210000,1711228047,38,491346
5220000,1711228048,38,302312
5230000,1711228048,38,306231
5240000,1711228049,38,238780
5250000,1711228049,38,291387
5260000,1711228050,38,591743
5270000,1711228050,38,517074
5280000,1711228051,38,175554
5290000,1711228051,38,202462
5300000,1711228052,38,454186
5310000,1711228052,37,652615
5320000,1711228053,38,832522
5330000,1711228053,38,081604
5340000,1711228054,38,889039
5350000,1711228054,38,560847
5360000,1711228055,38,144211
5370000,1711228056,37,709304
5380000,1711228056,38,587264
5390000,1711228057,37,956693
5400000,1711228057,38,222607
5410000,1711228057,38,223917
5420000,1711228058,37,875951
5430000,1711228058,38,146992
5440000,1711228059,38,664971
5450000,1711228059,38,535843
5460000,1711228060,37,734988
5470000,1711228060,38,089076
5480000,1711228061,38,458217
5490000,1711228061,38,092053
5500000,1711228062,37,468819
5510000,1711228062,37,932353
5520000,1711228063,38,543998
5530000,1711228064,37,962669
5540000,1711228064,38,275891
5550000,1711228064,38,102519
5560000,1711228065,37,736151
5570000,1711228066,37,937467
5580000,1711228066,37,959703
5590000,1711228067,38,162352
5600000,1711228067,37,844507
5610000,1711228068,37,828021
5620000,1711228069,38,085995
5630000,1711228069,37,702019
5640000,1711228070,37,904467
5650000,1711228070,38,401487
5660000,1711228071,38,308543
5670000,1711228071,37,978357
5680000,1711228072,37,795044
5690000,1711228072,37,764516
5700000,1711228073,37,938025
5710000,1711228073,38,068363
5720000,1711228074,37,902171
5730000,1711228075,37,632207
5740000,1711228075,38,000388
5750000,1711228076,38,128927
5760000,1711228076,37,797019
5770000,1711228077,37,625461
5780000,1711228077,37,887500
5790000,1711228078,37,959923
5800000,1711228078,37,713126
