Iterations,Seconds,Score
5400000,1711187469,57,343502
5410000,1711187470,57,207747
5420000,1711187471,56,576939
5430000,1711187471,56,903742
5440000,1711187472,56,924778
5450000,1711187472,56,381597
5460000,1711187473,57,244831
5470000,1711187473,56,940975
5480000,1711187474,57,261121
5490000,1711187475,57,522544
5500000,1711187475,56,611882
5510000,1711187476,57,077012
5520000,1711187476,57,004376
5530000,1711187477,57,282669
5540000,1711187477,56,372559
5550000,1711187478,55,433464
5560000,1711187479,56,540876
5570000,1711187479,56,590530
5580000,1711187480,55,622421
5590000,1711187480,56,475108
5600000,1711187481,55,663036
5610000,1711187481,55,784420
5620000,1711187482,56,907699
5630000,1711187482,55,979269
5640000,1711187483,56,416169
5650000,1711187483,56,119942
5660000,1711187484,56,661169
5670000,1711187485,56,265008
5680000,1711187485,56,690975
5690000,1711187486,56,853436
5700000,1711187486,56,687530
5710000,1711187487,56,525863
5720000,1711187488,56,530532
5730000,1711187488,55,814657
5740000,1711187489,56,325263
5750000,1711187489,56,461047
5760000,1711187490,55,464860
5770000,1711187490,56,527710
5780000,1711187491,55,670430
5790000,1711187492,56,348233
5800000,1711187492,56,382378
5810000,1711187493,55,473684
5820000,1711187493,56,491941
5830000,1711187494,55,387766
5840000,1711187494,56,752641
5850000,1711187495,55,584683
5860000,1711187496,55,763477
5870000,1711187496,55,417847
5880000,1711187497,55,982090
5890000,1711187497,55,526613
5900000,1711187498,55,250828
5910000,1711187498,55,834150
5920000,1711187499,55,122289
5930000,1711187500,55,649549
5940000,1711187500,56,028011
5950000,1711187501,55,400809
5960000,1711187501,54,658679
5970000,1711187502,55,420903
5980000,1711187502,54,766963
5990000,1711187503,55,128869
6000000,1711187504,56,422214
6010000,1711187504,55,178224
6020000,1711187505,55,033265
6030000,1711187505,54,996776
6040000,1711187506,54,205477
6050000,1711187506,55,515093
6060000,1711187507,55,318387
6070000,1711187507,55,351321
6080000,1711187508,54,734831
6090000,1711187509,54,770916
6100000,1711187509,55,663838
6110000,1711187510,55,515704
6120000,1711187510,54,233644
6130000,1711187511,54,985784
6140000,1711187511,54,813731
6150000,1711187512,55,226062
6160000,1711187513,55,281449
6170000,1711187513,54,696321
6180000,1711187514,53,859180
6190000,1711187514,55,072024
6200000,1711187515,54,568716
6210000,1711187515,55,528496
6220000,1711187516,54,700408
6230000,1711187516,55,223010
6240000,1711187517,54,522005
6250000,1711187517,55,477743
6260000,1711187518,54,963512
6270000,1711187519,54,358542
6280000,1711187519,54,207351
6290000,1711187520,54,307322
6300000,1711187520,54,449593
6310000,1711187521,53,598114
6320000,1711187521,54,539235
