Iterations,Seconds,Score
4060000,1711265531,40,838353
4070000,1711265532,41,304553
4080000,1711265532,40,687996
4090000,1711265533,40,900280
4100000,1711265533,40,599819
4110000,1711265534,40,819792
4120000,1711265535,41,315463
4130000,1711265535,40,624892
4140000,1711265536,40,871287
4150000,1711265536,40,909894
4160000,1711265537,40,937418
4170000,1711265537,40,411391
4180000,1711265538,39,815326
4190000,1711265538,39,562104
4200000,1711265539,40,691103
4210000,1711265540,40,429027
4220000,1711265540,41,177144
4230000,1711265541,40,412002
4240000,1711265541,38,811782
4250000,1711265541,41,395613
4260000,1711265542,39,944541
4270000,1711265542,39,752525
4280000,1711265543,40,550720
4290000,1711265543,40,624312
4300000,1711265544,40,866609
4310000,1711265544,39,632812
4320000,1711265545,40,430720
4330000,1711265545,40,307867
4340000,1711265546,39,343799
4350000,1711265546,40,757514
4360000,1711265547,39,946865
4370000,1711265548,40,745029
4380000,1711265548,40,087473
4390000,1711265549,40,058210
4400000,1711265549,40,420752
4410000,1711265550,40,497155
4420000,1711265550,40,342338
4430000,1711265551,40,030232
4440000,1711265551,39,715247
4450000,1711265552,40,218753
4460000,1711265552,39,711545
4470000,1711265553,40,369771
4480000,1711265553,39,958065
4490000,1711265554,40,031394
4500000,1711265554,40,018454
4510000,1711265555,40,327937
4520000,1711265555,39,823159
4530000,1711265556,39,935855
4540000,1711265556,39,870829
4550000,1711265557,40,234250
4560000,1711265557,39,996957
4570000,1711265558,39,853350
4580000,1711265558,39,913721
4590000,1711265559,39,693961
4600000,1711265559,40,121841
4610000,1711265560,39,790996
4620000,1711265560,39,808277
4630000,1711265561,40,140979
4640000,1711265561,40,157204
4650000,1711265562,39,965418
4660000,1711265562,40,080813
4670000,1711265563,39,362050
4680000,1711265563,40,082178
4690000,1711265564,40,015504
4700000,1711265565,39,736663
4710000,1711265565,40,156719
4720000,1711265566,39,722027
4730000,1711265566,39,710799
4740000,1711265567,38,050315
4750000,1711265568,39,718978
4760000,1711265568,40,206994
4770000,1711265569,39,564324
4780000,1711265569,39,955996
4790000,1711265570,40,408115
4800000,1711265570,39,707278
4810000,1711265571,39,978559
4820000,1711265572,40,019555
4830000,1711265572,39,543061
4840000,1711265573,39,723136
4850000,1711265573,39,504423
4860000,1711265574,38,930055
4870000,1711265575,39,632431
4880000,1711265575,39,558109
4890000,1711265575,39,048222
4900000,1711265576,39,745935
4910000,1711265577,38,987222
4920000,1711265577,39,379016
4930000,1711265578,38,743755
4940000,1711265578,39,615698
4950000,1711265579,39,503688
4960000,1711265579,39,612130
4970000,1711265580,39,300328
4980000,1711265580,39,451138
4990000,1711265581,39,832595
5000000,1711265582,39,383631
5010000,1711265582,39,623904
5020000,1711265583,39,645626
5030000,1711265583,39,475223
5040000,1711265584,39,621142
5050000,1711265585,39,636254
5060000,1711265585,39,033854
5070000,1711265586,39,455455
5080000,1711265586,39,038454
5090000,1711265587,39,189083
5100000,1711265587,39,656819
5110000,1711265588,38,849793
5120000,1711265588,39,164067
5130000,1711265589,39,249819
5140000,1711265589,38,901656
5150000,1711265590,39,970532
5160000,1711265590,38,880870
5170000,1711265591,39,702419
5180000,1711265591,39,387320
5190000,1711265592,39,317141
5200000,1711265592,39,125943
5210000,1711265593,39,022322
5220000,1711265594,39,633960
5230000,1711265594,38,872089
5240000,1711265595,38,933344
5250000,1711265595,38,517475
5260000,1711265596,38,580688
5270000,1711265597,39,265396
5280000,1711265597,39,100855
5290000,1711265597,39,064215
5300000,1711265598,38,895824
5310000,1711265599,38,820005
5320000,1711265599,39,016009
5330000,1711265600,39,069504
5340000,1711265600,38,253775
5350000,1711265601,38,694097
5360000,1711265602,38,879535
5370000,1711265602,38,559914
5380000,1711265603,38,596697
5390000,1711265603,38,873688
5400000,1711265604,38,816578
5410000,1711265604,38,731343
5420000,1711265605,37,653243
5430000,1711265605,38,751776
5440000,1711265606,38,900339
5450000,1711265606,38,803326
5460000,1711265607,38,050943
5470000,1711265607,38,885647
5480000,1711265608,38,491195
5490000,1711265608,38,634126
5500000,1711265609,38,976181
5510000,1711265609,38,902697
5520000,1711265610,38,713320
5530000,1711265610,38,897992
5540000,1711265611,38,288416
5550000,1711265612,38,598252
5560000,1711265612,38,666451
5570000,1711265613,38,703899
5580000,1711265613,38,315212
5590000,1711265614,38,596885
5600000,1711265614,38,485641
5610000,1711265615,38,946364
5620000,1711265615,38,524986
5630000,1711265616,38,578543
5640000,1711265616,38,507969
5650000,1711265617,38,630855
5660000,1711265618,39,093418
5670000,1711265618,38,814069
5680000,1711265619,38,496430
5690000,1711265619,38,335844
5700000,1711265620,38,302401
5710000,1711265620,38,306249
5720000,1711265621,37,959529
5730000,1711265621,38,388969
5740000,1711265622,38,477290
5750000,1711265622,38,255498
5760000,1711265623,38,595182
5770000,1711265623,37,990691
5780000,1711265624,38,393683
5790000,1711265625,37,802906
5800000,1711265625,38,310023
5810000,1711265626,38,277530
5820000,1711265626,38,216663
5830000,1711265627,38,633706
5840000,1711265628,38,768581
5850000,1711265628,38,238273
5860000,1711265629,38,276976
5870000,1711265629,37,448983
5880000,1711265630,38,321460
5890000,1711265630,38,470266
5900000,1711265631,38,119183
5910000,1711265631,37,706691
5920000,1711265632,38,362149
5930000,1711265633,38,278211
5940000,1711265633,38,018594
5950000,1711265634,37,834623
5960000,1711265634,38,113151
5970000,1711265635,38,186142
5980000,1711265635,37,830136
5990000,1711265636,38,537174
6000000,1711265636,37,491886
6010000,1711265637,37,812600
6020000,1711265638,37,756776
6030000,1711265638,38,179320
6040000,1711265639,37,965925
6050000,1711265639,38,005813
6060000,1711265640,37,796630
6070000,1711265640,36,986413
6080000,1711265641,38,043671
6090000,1711265641,38,214482
6100000,1711265642,37,585907
6110000,1711265642,37,846339
6120000,1711265643,37,845615
6130000,1711265644,37,710874
6140000,1711265644,38,759720
6150000,1711265645,38,128061
6160000,1711265645,37,884892
6170000,1711265646,37,583218
6180000,1711265646,38,029116
6190000,1711265647,37,762405
6200000,1711265647,37,375456
6210000,1711265648,37,715200
6220000,1711265648,37,275721
6230000,1711265649,37,031247
6240000,1711265649,37,570998
6250000,1711265650,37,828239
6260000,1711265650,37,867541
6270000,1711265651,37,876552
6280000,1711265651,37,598547
6290000,1711265652,37,725023
6300000,1711265652,37,564837
6310000,1711265653,37,558584
6320000,1711265654,37,757178
6330000,1711265654,38,062259
6340000,1711265655,37,700293
6350000,1711265655,37,961860
6360000,1711265656,37,735433
6370000,1711265656,37,826978
6380000,1711265657,37,572130
6390000,1711265658,37,746505
6400000,1711265658,37,914696
6410000,1711265659,37,773484
6420000,1711265659,37,123481
6430000,1711265660,37,641590
6440000,1711265660,37,351061
6450000,1711265661,37,962444
6460000,1711265661,37,495643
6470000,1711265662,37,502229
6480000,1711265663,37,347418
6490000,1711265663,37,223376
6500000,1711265664,37,845432
6510000,1711265664,37,203483
6520000,1711265665,37,686059
6530000,1711265665,37,281816
6540000,1711265666,37,299413
6550000,1711265667,37,265132
6560000,1711265667,37,422027
6570000,1711265668,37,250199
6580000,1711265668,37,773348
6590000,1711265669,37,305539
6600000,1711265669,37,070981
6610000,1711265670,37,349973
6620000,1711265670,37,265247
6630000,1711265671,37,170454
6640000,1711265672,36,960230
6650000,1711265672,37,355428
6660000,1711265673,37,433239
6670000,1711265673,37,140424
6680000,1711265674,37,594659
6690000,1711265674,37,297113
6700000,1711265675,37,097027
6710000,1711265676,36,827074
6720000,1711265676,37,228169
6730000,1711265677,37,404533
6740000,1711265677,37,488603
6750000,1711265678,37,083936
6760000,1711265678,37,024907
6770000,1711265679,36,926806
6780000,1711265679,36,664349
6790000,1711265680,37,154383
6800000,1711265680,37,118853
6810000,1711265681,37,015588
6820000,1711265682,36,966883
6830000,1711265682,36,987505
6840000,1711265683,37,048279
6850000,1711265683,37,057044
6860000,1711265684,37,407455
6870000,1711265684,37,181700
6880000,1711265685,37,331504
